Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
Cladding_PV,26.4725,49.1982,-2494.37,8.30678,3518.24,1.330746156e-15
Cladding_PV,25.9504,52.3147,-2494.49,25.8376,7324.07,4.13918352e-15
Cladding_PV,-43.2871,49.0402,-2493.53,6.10742,10987.6,9.78408684e-16
TiO2_Coating_PV,-49.3158,56.5062,-2488.52,0.381514,313.757,6.11185428e-17
Gd2O3_Coating_PV,-49.5151,56.7305,-2488.43,0.0147715,208.216,2.3663943e-18
World,-49.6565,56.8725,-2488.37,1.67907,13751900.0,2.68987014e-16
Cladding_PV,14.53,-56.41,-2132.37,4.44084,14359.7,7.114225679999999e-16
Cladding_PV,22.8445,-62.1791,-2122.47,5.83869,15693.8,9.35358138e-16
Cladding_PV,30.014,-67.5636,-2110.22,0.276258,2200.14,4.42565316e-17
TiO2_Coating_PV,30.8201,-68.3749,-2108.35,0.142822,609.608,2.28800844e-17
Gd2O3_Coating_PV,31.0588,-68.5962,-2107.84,0.168866,371.703,2.7052333199999998e-17
World,31.2552,-68.7267,-2107.55,2.25339,9421950.0,3.6099307799999997e-16
World,5196.21,-4715.25,4204.89,2.37848,8091920.0,3.81032496e-16
World,5196.21,-4715.25,4204.89,5.55905,924743.0,8.9055981e-16
Cladding_PV,-1.60632,-46.3967,-2275.86,7.87932,25621.7,1.262267064e-15
Cladding_PV,3.72957,-50.8506,-2251.62,6.75511,21476.3,1.082168622e-15
Cladding_PV,2.23608,-49.729,-2230.52,10.1276,23119.9,1.62244152e-15
Cladding_PV,0.265041,-41.1661,-2209.51,4.0816,22359.4,6.5387232e-16
Cladding_PV,-4.77867,-26.7539,-2193.66,4.53432,21210.7,7.26398064e-16
Cladding_PV,-15.648,-16.2327,-2179.25,5.67051,22209.3,9.08415702e-16
Cladding_PV,-27.1244,0.295933,-2170.72,8.01875,19936.8,1.2846037500000001e-15
Cladding_PV,-33.9344,18.6277,-2172.55,7.39474,19654.0,1.184637348e-15
Cladding_PV,-36.8957,36.8948,-2178.21,7.44259,19790.4,1.1923029179999999e-15
Cladding_PV,-37.2927,56.2996,-2179.81,2.84566,9250.18,4.55874732e-16
Gd2O3_Coating_PV,-36.5945,65.8098,-2180.87,0.52042,374.267,8.3371284e-17
World,-36.4359,66.1262,-2180.98,1.95835,10138600.0,3.1372767e-16
World,96.7508,28.8612,-2485.02,1.63874,7604410.0,2.62526148e-16
World,5084.11,4325.73,1115.36,0.184472,2864170.0,2.95524144e-17
World,6844.41,6219.82,2309.95,2.6845,5415700.0,4.3005689999999995e-16
World,6844.41,6219.82,2309.95,3.23707,1208290.0,5.18578614e-16
