Volume,X,Y,Z,Edep_keV,StepLength_nm,Edep_J
Cladding_PV,50.6039,-22.6873,-2486.07,4.2651,8149.17,6.8326902e-16
Cladding_PV,47.0617,-29.8171,-2486.04,2.89082,8502.8,4.63109364e-16
Cladding_PV,42.8897,-36.919,-2486.96,1.7331,7799.18,2.7764262e-16
Cladding_PV,42.3718,-41.3543,-2493.12,3.05699,5661.19,4.89729798e-16
Cladding_PV,39.1,-42.6699,-2497.42,1.63466,4348.28,2.61872532e-16
Cladding_PV,36.0988,-45.7108,-2497.76,3.51852,5045.78,5.63666904e-16
Cladding_PV,31.6498,-47.7878,-2497.05,1.70693,4714.01,2.73450186e-16
Cladding_PV,27.0794,-47.1332,-2497.47,4.762,4910.65,7.628723999999999e-16
Cladding_PV,22.338,-47.6097,-2496.72,1.69207,4490.13,2.71069614e-16
Cladding_PV,20.1687,-51.2932,-2495.63,1.86482,5806.22,2.9874416399999997e-16
Cladding_PV,15.5093,-54.3985,-2494.73,3.10549,5344.33,4.9749949799999995e-16
Cladding_PV,11.6488,-56.9296,-2492.28,4.92782,5266.01,7.894367639999999e-16
Cladding_PV,7.44432,-59.2,-2490.37,2.95405,6101.16,4.7323881e-16
Cladding_PV,2.732,-60.6283,-2487.08,7.41247,7607.44,1.187477694e-15
Cladding_PV,-4.03005,-62.0494,-2484.64,6.48854,9590.14,1.039464108e-15
Cladding_PV,-12.8626,-61.1047,-2482.74,8.90702,6100.73,1.4269046039999998e-15
Cladding_PV,-17.7258,-60.6235,-2485.98,5.97043,7667.32,9.56462886e-16
Cladding_PV,-21.059,-62.0364,-2492.23,7.54372,5650.67,1.208503944e-15
Cladding_PV,-20.1431,-61.935,-2497.52,1.9761,2683.1,3.1657121999999996e-16
World,-19.7669,-61.934,-2500.0,3.52701,8295850.0,5.65027002e-16
Cladding_PV,-18.7795,22.988,-2422.37,17.8835,31542.5,2.8649367e-15
Cladding_PV,-6.47033,30.547,-2394.78,9.85704,32527.7,1.579097808e-15
Cladding_PV,1.96767,30.468,-2363.83,11.5954,32379.7,1.85758308e-15
Cladding_PV,5.39702,31.0525,-2332.1,4.17126,26729.7,6.68235852e-16
Cladding_PV,-3.54625,37.563,-2308.13,9.60438,36181.6,1.5386216760000002e-15
Cladding_PV,-11.4456,38.0216,-2273.46,15.1486,34094.1,2.42680572e-15
Cladding_PV,-11.7147,37.0594,-2239.95,13.0822,35120.7,2.09576844e-15
Cladding_PV,-4.08667,48.7046,-2208.41,16.4906,36443.7,2.64179412e-15
Cladding_PV,13.5098,60.1421,-2179.51,10.7118,29650.0,1.71603036e-15
Cladding_PV,34.0481,66.4669,-2160.58,0.00968163,377.97,1.550997126e-18
World,34.3217,66.686,-2160.44,1.54166,13604500.0,2.46973932e-16
Cladding_PV,-50.9263,1.43384,-2490.11,8.34932,28816.6,1.337561064e-15
Cladding_PV,-59.0565,-1.40107,-2463.05,9.6067,29483.4,1.53899334e-15
Cladding_PV,-60.548,-0.340376,-2434.08,6.95007,22064.0,1.113401214e-15
Cladding_PV,-47.8285,14.1484,-2423.92,21.3665,21609.7,3.4229132999999996e-15
Cladding_PV,-37.9772,22.4712,-2406.91,5.18327,25451.6,8.303598540000001e-16
Cladding_PV,-31.2776,28.9137,-2383.64,14.6678,26762.9,2.34978156e-15
Cladding_PV,-27.436,37.3908,-2359.04,14.9305,23273.5,2.3918661e-15
Cladding_PV,-33.6095,45.2923,-2338.45,10.7171,26932.2,1.71687942e-15
Cladding_PV,-45.3052,53.073,-2316.1,3.82327,11475.9,6.12487854e-16
World,-49.2441,56.5687,-2306.16,2.32885,13510700.0,3.7308177e-16
World,6930.58,-2767.68,-9398.42,0.720387,1132740.0,1.154059974e-16
World,7598.52,-3588.44,-9030.73,2.72276,3820290.0,4.36186152e-16
World,7598.52,-3588.44,-9030.73,2.28762,200703.0,3.6647672399999997e-16
Cladding_PV,11.8531,44.0123,-2330.38,7.76454,15172.5,1.243879308e-15
Cladding_PV,4.2379,45.1546,-2318.27,18.3234,19022.2,2.93540868e-15
Cladding_PV,-8.16653,49.6303,-2306.6,8.51765,13717.6,1.36452753e-15
Cladding_PV,-15.1059,57.3301,-2299.25,6.52026,7932.17,1.044545652e-15
Cladding_PV,-16.4365,63.9613,-2295.96,10.9129,5073.25,1.74824658e-15
Cladding_PV,-15.821,66.3115,-2291.74,4.36455,4359.48,6.9920091e-16
Cladding_PV,-16.5,68.3874,-2288.19,6.68057,3788.08,1.070227314e-15
Cladding_PV,-18.3569,71.138,-2286.74,0.650137,1842.87,1.0415194739999999e-16
World,-19.5327,72.4118,-2286.83,4.89386,12746900.0,7.83996372e-16
World,-8748.46,6085.46,873.504,0.748215,1306300.0,1.1986404299999999e-16
Cladding_PV,36.2724,6.63628,-2500.0,0.02201,37487.2,3.526001999999999e-18
Cladding_PV,59.0639,-12.9371,-2477.58,0.09563,4.08707,1.5319926e-17
Cladding_PV,59.0639,-12.9371,-2477.58,0.03636,2.52015,5.824872e-18
Cladding_PV,59.0639,-12.9371,-2477.58,6.65707,21412.5,1.066462614e-15
